Year,Wellbeing measure,Wellbeing measure category,Demographic,Demographic category,Type,Estimate(percent),Absolute sampling error (percentage points),Flag
2014,Overall life satisfaction,0 to 6,Total population,Total population,Proportions,17.4, 0.9,
2014,Overall life satisfaction,0 to 6,Life stage (years),15-24 years,Proportions,16.7, 2.4,
2014,Overall life satisfaction,0 to 6,Life stage (years),25-44 years,Proportions,17.8, 1.8,
2014,Overall life satisfaction,0 to 6,Life stage (years),45-64 years,Proportions,19.2, 1.6,
2014,Overall life satisfaction,0 to 6,Life stage (years),65 years and over,Proportions,14.1, 1.7,
2014,Overall life satisfaction,0 to 6,Age group (years),15-24 years,Proportions,16.7, 2.4,
2014,Overall life satisfaction,0 to 6,Age group (years),25-34 years,Proportions,17.9, 2.7,
2014,Overall life satisfaction,0 to 6,Age group (years),35-44 years,Proportions,17.7, 2.4,
2014,Overall life satisfaction,0 to 6,Age group (years),45-54 years,Proportions,19.8, 2.3,
2014,Overall life satisfaction,0 to 6,Age group (years),55-64 years,Proportions,18.5, 2.3,
2014,Overall life satisfaction,0 to 6,Age group (years),65-74 years,Proportions,14.2, 2.2,
2014,Overall life satisfaction,0 to 6,Age group (years),75 years and over,Proportions,13.8, 2.5,
2014,Overall life satisfaction,0 to 6,Sex,Male,Proportions,16.6, 1.4,
2014,Overall life satisfaction,0 to 6,Sex,Female,Proportions,18.2, 1.5,
2014,Overall life satisfaction,0 to 6,Labour force status,Employed,Proportions,15.6, 1.2,
2014,Overall life satisfaction,0 to 6,Labour force status,Unemployed,Proportions,29.5, 5.6,
2014,Overall life satisfaction,0 to 6,Labour force status,Not in the labour force,Proportions,20.0, 1.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,No qualification,Proportions,23.2, 2.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 1-4 certificate,Proportions,17.9, 1.4,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 5-6 diploma,Proportions,17.1, 2.6,
2014,Overall life satisfaction,0 to 6,Highest qualification,Level 7 and above,Proportions,12.4, 1.8,
2014,Overall life satisfaction,0 to 6,Household income,"$30,000 or less",Proportions,27.0, 2.3,
2014,Overall life satisfaction,0 to 6,Household income,"$30,001-$70,000",Proportions,21.5, 1.8,
2014,Overall life satisfaction,0 to 6,Household income,"$70,001-$100,000",Proportions,16.1, 1.9,
2014,Overall life satisfaction,0 to 6,Household income,"$100,001-$150,000",Proportions,12.5, 2.2,
2014,Overall life satisfaction,0 to 6,Household income,"$150,001 or more",Proportions,10.9, 2.7,
2014,Overall life satisfaction,0 to 6,Personal income,"$30,000 or less",Proportions,21.7, 1.4,
2014,Overall life satisfaction,0 to 6,Personal income,"$30,001-$70,000",Proportions,16.0, 1.8,
2014,Overall life satisfaction,0 to 6,Personal income,"$70,001 or more",Proportions, 7.5, 1.6,
2014,Overall life satisfaction,0 to 6,Housing tenure,Owner-occupied,Proportions,14.4, 1.0,
2014,Overall life satisfaction,0 to 6,Housing tenure,Not owner-occupied,Proportions,23.6, 1.8,
2014,Overall life satisfaction,0 to 6,Family type,Couple without child(ren),Proportions,12.6, 1.4,
2014,Overall life satisfaction,0 to 6,Family type,Couple with child(ren),Proportions,14.8, 1.6,
2014,Overall life satisfaction,0 to 6,Family type,One parent with child(ren),Proportions,30.4, 4.1,
2014,Overall life satisfaction,0 to 6,Family type,Not in a family nucleus,Proportions,23.3, 2.5,
2014,Overall life satisfaction,0 to 6,Migrant status,Born in NZ,Proportions,17.6, 1.2,
2014,Overall life satisfaction,0 to 6,Migrant status,Long-term migrant,Proportions,17.8, 2.1,
2014,Overall life satisfaction,0 to 6,Migrant status,Recent migrant,Proportions,11.8, 4.5,*
2014,Overall life satisfaction,0 to 6,Ethnicity,European,Proportions,16.0, 1.1,
2014,Overall life satisfaction,0 to 6,Ethnicity,Māori,Proportions,22.2, 3.0,
2014,Overall life satisfaction,0 to 6,Ethnicity,Pacific peoples,Proportions,21.9, 4.5,
2014,Overall life satisfaction,0 to 6,Ethnicity,Asian,Proportions,18.4, 3.2,
2014,Overall life satisfaction,0 to 6,Region,Northland,Proportions,19.8, 4.6,
2014,Overall life satisfaction,0 to 6,Region,Auckland,Proportions,17.3, 2.1,
2014,Overall life satisfaction,0 to 6,Region,Waikato,Proportions,15.0, 3.1,
2014,Overall life satisfaction,0 to 6,Region,Bay of Plenty,Proportions,17.3, 2.9,
2014,Overall life satisfaction,0 to 6,Region,Gisborne/Hawke's Bay,Proportions,18.1, 3.9,
2014,Overall life satisfaction,0 to 6,Region,Taranaki,Proportions,13.1, 4.6,*
2014,Overall life satisfaction,0 to 6,Region,Manawatū-Whanganui,Proportions,21.3, 4.2,
2014,Overall life satisfaction,0 to 6,Region,Wellington,Proportions,16.8, 2.6,
2014,Overall life satisfaction,0 to 6,Region,Nelson/Tasman/Marlborough/West Coast,Proportions,18.1, 3.6,
2014,Overall life satisfaction,0 to 6,Region,Canterbury,Proportions,18.4, 2.6,
2014,Overall life satisfaction,0 to 6,Region,Otago,Proportions,18.0, 4.5,
2014,Overall life satisfaction,0 to 6,Region,Southland,Proportions,16.2, 4.0,
2016,Overall life satisfaction,0 to 6,Total population,Total population,Proportions,17.3, 0.9,
2016,Overall life satisfaction,0 to 6,Life stage (years),15-24 years,Proportions,16.6, 2.7,
2016,Overall life satisfaction,0 to 6,Life stage (years),25-44 years,Proportions,18.1, 1.5,
2016,Overall life satisfaction,0 to 6,Life stage (years),45-64 years,Proportions,19.3, 1.7,
